Danish,English
baby,baby
fuck,Fuck
gider,Bother
skyder,Shoot
lys,light
sekunder,Seconds
henter,Download
hund,dog
desværre,unfortunately
søde,sugar
nød,nut
sidde,sit
skudt,Shot
utroligt,Incredibly
tjeneste,service
bog,book
ende,end
tal,number
indenfor,inside
tillykke,congratulations
øjnene,Eyes
tv,TV
james,James
mente,Meant
smule,Bit
menneske,human being
dårlig,bad
mødes,meet
skød,lap
sendt,sent
doktor,doctor
mangler,Missing
læse,read
Michael,Michael
vejret,Weather
makker,companion
kaffe,coffee
følger,Follows
enhver,any
otte,eight
onkel,uncle
hår,hair
større,bigger
præsident,president
løbe,run
beskytte,protect
kigger,Look
øh,uh
fortsæt,Continue
fru,Mrs
vild,wild
åbne,open
dyr,animal
skade,damage
billede,image
eget,Own
syg,sick
fyren,Guy
sort,black
bord,table
betaler,Pay
højt,aloud
slået,Beaten
dumme,Stupid
fest,party
George,George
vinde,win
sende,send
kig,Look
mike,Mike
lod,Share
følg,Follow
lig,corpse
spiser,Eat
mistet,Lost
røvhul,asshole
sex,sex
sid,Sid
pigen,Girl
hertil,here
ære,honor
dame,lady
fængsel,prison
smukt,Beautiful
lede,govern
sat,Set
anderledes,differently
mester,champion
kontor,office
vii,Vii
døden,death
sendte,sent
yeah,Yes
hent,Download
sorte,Black
drikke,drink
travlt,Busy
David,David
dejligt,delightfully
glemt,forgotten
spor,track
tingene,Things
ung,young
skole,school
passe,fit
rør,tube
rette,correct
begynde,begin
betjent,Cop
forklare,explain
ide,idea
fader,Father
landet,Country
skai,skai
hænderne,Hands
umuligt,impossible
herinde,Here
drøm,dream
kalde,call
åben,open
alting,everything
ene,juniper
meter,metre
venlig,friendly
vandet,Water
luften,Air
tør,dry
fanget,Caught
fange,prisoner
overhovedet,whatsoever
forhold,relationship
råd,advice
frue,madam
jimmy,Jimmy
smukke,Beautiful
uanset,whatever
stole,trust
godeste,goodness
født,born
forsigtig,cautious
faldt,Fell
send,Send
spurgte,Asked
netop,just
syntes,Seemed
bekymret,Concerned about
skolen,School
elske,love
familien,Family
falder,Fall
stil,style
føles,Feels
egne,Own
fare,danger
brugte,Used
sover,Sleep
vende,turn
guds,God
forlade,leave
nar,fool
dele,divide
løber,runner
tidspunkt,time
advokat,lawyer
halv,half
oberst,colonel
max,.max
kendt,known
mødt,Met
bo,dwell
fører,driver
kende,know
slippe,Get rid
lærer,teacher
slås,fight
stolt,proud
stopper,Stops
læge,doctor
mund,mouth
kigge,look
drink,drink
direkte,direct
fbi,Fbi
bedst,best
mord,murder
ændre,change
nemlig,namely
telefon,telephone
angreb,attack
rejser,travelling
ordre,order
sikre,ensure
normalt,Usually
smid,Throw
konge,king
ægte,genuine
flyve,fly
ordne,arrange
skylder,Owe
skriver,Writes
ni,nine
rent,purely
ødelægge,destroy
skib,ship
satan,Satan
joe,Joe
fart,speed
vender,Turns
brugt,used
prøvet,Tried
telefonen,Phone
vore,Our
børnene,Children
krigen,War
kontakt,contact
gave,gift
skør,brittle
mødte,Met
skrev,Wrote
ærligt,Honestly
bestemt,definite
ild,fire
middag,noon
ryger,smoker
satans,goddamn
naturligvis,naturally
kørte,Drove
stemme,voice
slemt,Bad
bob,Bob
stand,booth
ah,Ah
lyset,Light
problemet,Problem
paul,Paul
lukket,closed
skid,Skid
hav,sea
føle,feel
forsøger,Trying
aftes,Last night
fars,Father
jesus,Jesus
blå,blue
krop,body
flyt,Move
historien,Story
forkerte,Wrong
glemme,forget
pænt,nicely
pris,price
mistede,Lost
ma,Ma
alex,Alex
dér,There
glemte,Forgot
forsvind,Disappear
stærk,strong
billeder,Images
hurtigere,Faster
starte,start
nær,near
taber,loser
undskylde,apologize
frøken,Miss
reddede,Saved
bill,Bill
levende,alive
bryder,wrestler
fleste,Most
derovre,over there
løgn,lie
lært,Learned
skrevet,Written
magt,power
ro,row
underligt,Strange
venligst,please
paris,Paris
løs,loose
an,An der
dræb,Kill
selvom,though
enkelt,single
sang,song
vred,angry
øl,beer
stykker,Pieces
rum,space
lyver,Lying
sulten,hungry
tredje,third
musik,music
parat,ready
masser,Lots
løjtnant,lieutenant
interessant,interesting
midt,Mid
starter,Starts
miste,lose
slipper,Release
